country,country_code,region,income,year,gdp_growth,inflation,life_expectancy,poverty
San Marino,SMR,Europe & Central Asia,High income,2022,7.89844145767604,5.32545321311365,85.708,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2022,0.168698492216564,18.0056351122841,69.237,
Saudi Arabia,SAU,Middle East & North Africa,High income,2022,12.0005874752929,2.47407371925372,77.31,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2022,3.85043193735768,9.69681899081073,67.788,
Serbia,SRB,Europe & Central Asia,Upper middle income,2022,2.70347705543654,11.9815117344703,75.2365853658537,1.0
Seychelles,SYC,Sub-Saharan Africa,High income,2022,12.7104688902836,2.6260363285129,73.7024390243903,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2022,5.3135546141915,27.2082883814653,61.275,
Singapore,SGP,East Asia & Pacific,High income,2022,4.10800021897151,6.13095418919732,82.8951219512195,
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2022,13.9,,76.18,
Slovak Republic,SVK,Europe & Central Asia,High income,2022,0.544591632137454,12.7741463637611,76.9658536585366,0.3
Slovenia,SVN,Europe & Central Asia,High income,2022,2.66850555542486,8.83369886749452,81.2829268292683,0.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2022,-2.58448361755723,5.51812928576938,70.409,
"Somalia, Fed. Rep.",SOM,Sub-Saharan Africa,Low income,2022,2.71821202053759,,53.931,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2022,2.05813661692193,7.03987272546482,65.454,
South Sudan,SSD,Sub-Saharan Africa,Low income,2022,,-6.68732094212668,57.203,
Spain,ESP,Europe & Central Asia,High income,2022,6.37031712129601,8.39057634118627,83.1341463414634,0.5
Sri Lanka,LKA,South Asia,Lower middle income,2022,-7.34919301306745,49.7211021114327,77.3,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2022,10.4804941546807,2.66817533111249,70.313,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2022,20.3884431828414,6.37814695133351,72.67,
St. Martin (French part),MAF,Latin America & Caribbean,High income,2022,,,80.236,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2022,3.1108330034352,5.66009779226552,71.191,
Sudan,SDN,Sub-Saharan Africa,Low income,2022,-0.957816591119183,138.80846024176,65.695,
Suriname,SUR,Latin America & Caribbean,Upper middle income,2022,2.40622235601218,52.446027276241,73.254,0.5
Sweden,SWE,Europe & Central Asia,High income,2022,1.25543620445816,8.36929098869189,83.0585365853659,0.9
Switzerland,CHE,Europe & Central Asia,High income,2022,3.04406102969423,2.83502798644463,83.6048780487805,0.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2022,0.732781301861365,,72.79,3.7
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2022,8.00000033846364,,71.562,2.2
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2022,4.56600576430955,4.35027204269101,66.879,
Thailand,THA,East Asia & Pacific,Upper middle income,2022,2.58037874709827,-1.61068030486688,75.291,0.0
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2022,-20.5224785561874,7.00530945399787,67.368,
Togo,TGO,Sub-Saharan Africa,Low income,2022,6.29443692019429,7.96757361617945,62.29,
Tonga,TON,East Asia & Pacific,Upper middle income,2022,-2.12854452405193,10.9713652903022,72.635,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2022,0.86126082651883,5.82838638517959,73.331,
Tunisia,TUN,Middle East & North Africa,Lower middle income,2022,2.75228761004381,8.30646124447623,76.05,
Turkiye,TUR,Europe & Central Asia,Upper middle income,2022,5.44122511322401,72.3088359891207,77.591,0.1
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2022,6.19999993621698,,69.913,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2022,14.0871234168153,,77.918,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2022,0.677309361438304,,66.852,
Uganda,UGA,Sub-Saharan Africa,Low income,2022,4.58802192181773,7.1957888597581,67.675,
Ukraine,UKR,Europe & Central Asia,Upper middle income,2022,-28.7585842155085,20.1836366617478,72.658,
United Arab Emirates,ARE,Middle East & North Africa,High income,2022,7.51448425801082,5.29122604376849,80.487,
United Kingdom,GBR,Europe & Central Asia,High income,2022,5.14970388522993,7.92204883147902,81.0112195121951,
United States,USA,North America,High income,2022,2.51237531986017,8.00279982052121,77.4341463414634,1.0
Uruguay,URY,Latin America & Caribbean,High income,2022,4.48622703072073,9.10437983075437,76.468,0.1
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2022,6.00134232203442,11.4466436998836,72.147,1.6
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2022,5.18622862422562,6.67930581887121,71.302,
"Venezuela, RB",VEN,Latin America & Caribbean,,2022,8.00091310654791,,72.566,
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2022,8.53750046755788,3.15650749963129,74.502,0.4
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2022,-1.31123206333498,,80.319512195122,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2022,4.08276027347105,3.74122391852077,76.662,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2022,,,67.952,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2022,5.21122360356247,10.9932039209136,65.279,39.8
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2022,6.13926327570213,104.705170628667,62.36,
